#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
防御,防御Lv7,7,パラメータ変化,防御力を1.1倍し、防御力+35、全属性耐性値+5,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv7 防御力を高め、レベルに応じて耐性値も高める。 防御力を1.1倍し、防御力+35、全属性耐性値+5
精霊の加護,精霊の加護Lv1,1,戦闘(生存),一定確率で受けるダメージを15%軽減,55,550,3,一定確率で受けるダメージを軽減する。,精霊の加護 精霊の加護Lv1 一定確率で受けるダメージを軽減する。 一定確率で受けるダメージを15%軽減
精霊の加護,精霊の加護Lv2,2,戦闘(生存),一定確率で受けるダメージを30%軽減,55,550,3,一定確率で受けるダメージを軽減する。,精霊の加護 精霊の加護Lv2 一定確率で受けるダメージを軽減する。 一定確率で受けるダメージを30%軽減
精霊の加護,精霊の加護Lv3,3,戦闘(生存),一定確率で受けるダメージを50%軽減,55,550,3,一定確率で受けるダメージを軽減する。,精霊の加護 精霊の加護Lv3 一定確率で受けるダメージを軽減する。 一定確率で受けるダメージを50%軽減
根性,根性Lv1,1,戦闘(生存),一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回),,,15,一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。,根性 根性Lv1 一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。 一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回)
根性,根性Lv2,2,戦闘(生存),一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回),,,15,一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。,根性 根性Lv2 一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。 一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回)
根性,根性Lv3,3,戦闘(生存),一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回),,,15,一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。,根性 根性Lv3 一定以上の体力があるとき、大ダメージを受けても一度だけ力尽きずに耐える。 一定以上体力がある際、それを超えるダメージを受けても力尽きない(1回)
激昂,激昂Lv1,1,戦闘(生存),疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。,,,9,朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。,激昂 激昂Lv1 朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。 疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。
激昂,激昂Lv2,2,戦闘(生存),疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。,,,9,朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。,激昂 激昂Lv2 朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。 疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。
激昂,激昂Lv3,3,戦闘(生存),疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。,,,9,朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。,激昂 激昂Lv3 朱の書で戦闘中に怒りを蓄積し、最大時に蒼へ切り替えると一定時間スタミナ消費を無効化する。 疾替えの書〖朱〗使用中、大型モンスターとの戦闘で怒りを蓄積。怒りが最大時に疾替えの書〖蒼〗へ切替えると一定時間スタミナ消費無効。
顕如盤石,顕如盤石Lv1,1,特殊攻撃耐性,戦闘中の大型モンスターが怒ると、防御性能が上がる,,,6,大型モンスターが怒っている間、防御性能を高める。,顕如盤石 顕如盤石Lv1 大型モンスターが怒っている間、防御性能を高める。 戦闘中の大型モンスターが怒ると、防御性能が上がる
顕如盤石,顕如盤石Lv2,2,特殊攻撃耐性,戦闘中の大型モンスターが怒ると、防御性能が上がる,,,6,大型モンスターが怒っている間、防御性能を高める。,顕如盤石 顕如盤石Lv2 大型モンスターが怒っている間、防御性能を高める。 戦闘中の大型モンスターが怒ると、防御性能が上がる
顕如盤石,顕如盤石Lv3,3,特殊攻撃耐性,戦闘中の大型モンスターが怒ると、防御性能が上がる,,,6,大型モンスターが怒っている間、防御性能を高める。,顕如盤石 顕如盤石Lv3 大型モンスターが怒っている間、防御性能を高める。 戦闘中の大型モンスターが怒ると、防御性能が上がる
顕如盤石,顕如盤石Lv4,4,特殊攻撃耐性,戦闘中の大型モンスターが怒ると、防御性能が上がる,,,6,大型モンスターが怒っている間、防御性能を高める。,顕如盤石 顕如盤石Lv4 大型モンスターが怒っている間、防御性能を高める。 戦闘中の大型モンスターが怒ると、防御性能が上がる
顕如盤石,顕如盤石Lv5,5,特殊攻撃耐性,戦闘中の大型モンスターが怒ると、防御性能が上がる,,,6,大型モンスターが怒っている間、防御性能を高める。,顕如盤石 顕如盤石Lv5 大型モンスターが怒っている間、防御性能を高める。 戦闘中の大型モンスターが怒ると、防御性能が上がる
剛心,剛心Lv1,1,戦闘(生存),攻撃を当て続け剛心ゲージが最大のときにふきとぶ攻撃を受けると、一度だけダメージリアクションを無効化し、受けるダメージを軽減する効果を得る。,,,6,攻撃を続けてゲージを最大にすると、吹き飛ぶ攻撃を一度だけ耐え、受けるダメージを軽減する。,剛心 剛心Lv1 攻撃を続けてゲージを最大にすると、吹き飛ぶ攻撃を一度だけ耐え、受けるダメージを軽減する。 攻撃を当て続け剛心ゲージが最大のときにふきとぶ攻撃を受けると、一度だけダメージリアクションを無効化し、受けるダメージを軽減する効果を得る。
剛心,剛心Lv2,2,戦闘(生存),攻撃を当て続け剛心ゲージが最大のときにふきとぶ攻撃を受けると、一度だけダメージリアクションを無効化し、受けるダメージを軽減する効果を得る。,,,6,攻撃を続けてゲージを最大にすると、吹き飛ぶ攻撃を一度だけ耐え、受けるダメージを軽減する。,剛心 剛心Lv2 攻撃を続けてゲージを最大にすると、吹き飛ぶ攻撃を一度だけ耐え、受けるダメージを軽減する。 攻撃を当て続け剛心ゲージが最大のときにふきとぶ攻撃を受けると、一度だけダメージリアクションを無効化し、受けるダメージを軽減する効果を得る。
煽衛,煽衛Lv1,1,戦闘(生存),大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる,,,6,大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。,煽衛 煽衛Lv1 大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。 大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる
煽衛,煽衛Lv2,2,戦闘(生存),大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる,,,6,大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。,煽衛 煽衛Lv2 大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。 大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる
煽衛,煽衛Lv3,3,戦闘(生存),大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる,,,6,大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。,煽衛 煽衛Lv3 大型モンスターに狙われている間、モンスターを怒りやすくする代わりに防御性能を高める。 大型モンスターに狙われている間、対象のモンスターは怒りやすくなるがプレイヤーの防御性能は上がる
回復速度,回復速度Lv1,1,戦闘(生存),赤ゲージの自動回復速度2倍,57,570,3,被弾時の赤ゲージ部分の回復速度を上げる。,回復速度 回復速度Lv1 被弾時の赤ゲージ部分の回復速度を上げる。 赤ゲージの自動回復速度2倍
回復速度,回復速度Lv2,2,戦闘(生存),赤ゲージの自動回復速度3倍,57,570,3,被弾時の赤ゲージ部分の回復速度を上げる。,回復速度 回復速度Lv2 被弾時の赤ゲージ部分の回復速度を上げる。 赤ゲージの自動回復速度3倍
回復速度,回復速度Lv3,3,戦闘(生存),赤ゲージの自動回復速度4倍,57,570,3,被弾時の赤ゲージ部分の回復速度を上げる。,回復速度 回復速度Lv3 被弾時の赤ゲージ部分の回復速度を上げる。 赤ゲージの自動回復速度4倍
耳栓,耳栓Lv1,1,特殊攻撃耐性,咆哮【小】の影響を軽減する,59,590,9,大型モンスターの咆哮への耐性を高める。,耳栓 耳栓Lv1 大型モンスターの咆哮への耐性を高める。 咆哮【小】の影響を軽減する
耳栓,耳栓Lv2,2,特殊攻撃耐性,咆哮【小】の影響を無効化,59,590,9,大型モンスターの咆哮への耐性を高める。,耳栓 耳栓Lv2 大型モンスターの咆哮への耐性を高める。 咆哮【小】の影響を無効化
耳栓,耳栓Lv3,3,特殊攻撃耐性,咆哮【小】を無効化し、咆哮【大】の影響を軽減する,59,590,9,大型モンスターの咆哮への耐性を高める。,耳栓 耳栓Lv3 大型モンスターの咆哮への耐性を高める。 咆哮【小】を無効化し、咆哮【大】の影響を軽減する
耳栓,耳栓Lv4,4,特殊攻撃耐性,咆哮【小】【大】を無効化する,59,590,9,大型モンスターの咆哮への耐性を高める。,耳栓 耳栓Lv4 大型モンスターの咆哮への耐性を高める。 咆哮【小】【大】を無効化する
耳栓,耳栓Lv5,5,特殊攻撃耐性,咆哮【小】【大】を無効化し、強方向を軽減する,59,590,9,大型モンスターの咆哮への耐性を高める。,耳栓 耳栓Lv5 大型モンスターの咆哮への耐性を高める。 咆哮【小】【大】を無効化し、強方向を軽減する
風圧耐性,風圧耐性Lv1,1,特殊攻撃耐性,風圧【小】を無効化する,60,600,3,風圧への耐性を高める。,風圧耐性 風圧耐性Lv1 風圧への耐性を高める。 風圧【小】を無効化する
風圧耐性,風圧耐性Lv2,2,特殊攻撃耐性,風圧【小】【大】を無効化する,60,600,3,風圧への耐性を高める。,風圧耐性 風圧耐性Lv2 風圧への耐性を高める。 風圧【小】【大】を無効化する
風圧耐性,風圧耐性Lv3,3,特殊攻撃耐性,風圧【小】【大】を無効化し、龍風圧の影響を軽減する,60,600,3,風圧への耐性を高める。,風圧耐性 風圧耐性Lv3 風圧への耐性を高める。 風圧【小】【大】を無効化し、龍風圧の影響を軽減する
耐震,耐震Lv1,1,特殊攻撃耐性,振動【小】を無効化,61,610,6,振動への耐性を得る。,耐震 耐震Lv1 振動への耐性を得る。 振動【小】を無効化
耐震,耐震Lv2,2,特殊攻撃耐性,振動【小】を無効化、振動【大】を軽減,61,610,6,振動への耐性を得る。,耐震 耐震Lv2 振動への耐性を得る。 振動【小】を無効化、振動【大】を軽減
耐震,耐震Lv3,3,特殊攻撃耐性,振動【小】【大】を無効化,61,610,6,振動への耐性を得る。,耐震 耐震Lv3 振動への耐性を得る。 振動【小】【大】を無効化
泡沫の舞,泡沫の舞Lv1,1,特殊攻撃耐性,泡やられ【大】の影響を軽減する,62,620,6,泡やられを軽減し、泡によって回避能力を高める。,泡沫の舞 泡沫の舞Lv1 泡やられを軽減し、泡によって回避能力を高める。 泡やられ【大】の影響を軽減する
泡沫の舞,泡沫の舞Lv2,2,特殊攻撃耐性,泡やられ【大】を【小】に抑え泡やられ時に回避能力を強化する,62,620,6,泡やられを軽減し、泡によって回避能力を高める。,泡沫の舞 泡沫の舞Lv2 泡やられを軽減し、泡によって回避能力を高める。 泡やられ【大】を【小】に抑え泡やられ時に回避能力を強化する
泡沫の舞,泡沫の舞Lv3,3,特殊攻撃耐性,更に回避行動を複数回行うと泡やられ状態になる,62,620,6,泡やられを軽減し、泡によって回避能力を高める。,泡沫の舞 泡沫の舞Lv3 泡やられを軽減し、泡によって回避能力を高める。 更に回避行動を複数回行うと泡やられ状態になる
鬼火纏,鬼火纏Lv1,1,特殊攻撃耐性,鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。鬼火によって受けるダメージを減少する,93,930,9,鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。,鬼火纏 鬼火纏Lv1 鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。 鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。鬼火によって受けるダメージを減少する
鬼火纏,鬼火纏Lv2,2,特殊攻撃耐性,鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。鬼火爆発で与えるダメージを増加する,93,930,9,鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。,鬼火纏 鬼火纏Lv2 鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。 鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。鬼火爆発で与えるダメージを増加する
鬼火纏,鬼火纏Lv3,3,特殊攻撃耐性,鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。モンスター怒り時に自動で鬼火やられを発症する,93,930,9,鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。,鬼火纏 鬼火纏Lv3 鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。 鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。モンスター怒り時に自動で鬼火やられを発症する
鬼火纏,鬼火纏Lv4,4,特殊攻撃耐性,鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。モンスターの怒り終了後も効果が１分持続,93,930,9,鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。,鬼火纏 鬼火纏Lv4 鬼火への耐性を得て、攻撃で鬼火を纏い、鬼火を攻撃に利用できる。 鬼火への耐性を得て、攻撃を行うことで鬼火を纏い爆発を攻撃に転用する。モンスターの怒り終了後も効果が１分持続
回避性能,回避性能Lv1,1,戦闘(生存),無敵時間がほんのわずかに延長,63,630,6,回避行動の無敵時間を延ばす。,回避性能 回避性能Lv1 回避行動の無敵時間を延ばす。 無敵時間がほんのわずかに延長
回避性能,回避性能Lv2,2,戦闘(生存),無敵時間がわずかに延長,63,630,6,回避行動の無敵時間を延ばす。,回避性能 回避性能Lv2 回避行動の無敵時間を延ばす。 無敵時間がわずかに延長
回避性能,回避性能Lv3,3,戦闘(生存),無敵時間が延長,63,630,6,回避行動の無敵時間を延ばす。,回避性能 回避性能Lv3 回避行動の無敵時間を延ばす。 無敵時間が延長
回避性能,回避性能Lv4,4,戦闘(生存),無敵時間が大きく延長,63,630,6,回避行動の無敵時間を延ばす。,回避性能 回避性能Lv4 回避行動の無敵時間を延ばす。 無敵時間が大きく延長
回避性能,回避性能Lv5,5,戦闘(生存),無敵時間がとても大きく延長,63,630,6,回避行動の無敵時間を延ばす。,回避性能 回避性能Lv5 回避行動の無敵時間を延ばす。 無敵時間がとても大きく延長
回避距離ＵＰ,回避距離ＵＰLv1,1,戦闘(生存),回避距離がわずかに延長,64,640,6,回避行動の移動距離を延ばす。,回避距離ＵＰ 回避距離ＵＰLv1 回避行動の移動距離を延ばす。 回避距離がわずかに延長
回避距離ＵＰ,回避距離ＵＰLv2,2,戦闘(生存),回避距離が延長,64,640,6,回避行動の移動距離を延ばす。,回避距離ＵＰ 回避距離ＵＰLv2 回避行動の移動距離を延ばす。 回避距離が延長
回避距離ＵＰ,回避距離ＵＰLv3,3,戦闘(生存),回避距離が大きく延長,64,640,6,回避行動の移動距離を延ばす。,回避距離ＵＰ 回避距離ＵＰLv3 回避行動の移動距離を延ばす。 回避距離が大きく延長
疾之息吹,疾之息吹Lv1,1,特殊攻撃耐性,疾替えを行うと一部の状態異常が解除、または軽減される。解除された数に応じて体力が回復する,,,,疾替えで一部の状態異常を解除・軽減し、解除数に応じて体力を回復する。,疾之息吹 疾之息吹Lv1 疾替えで一部の状態異常を解除・軽減し、解除数に応じて体力を回復する。 疾替えを行うと一部の状態異常が解除、または軽減される。解除された数に応じて体力が回復する
属性やられ耐性,属性やられ耐性Lv1,1,特殊攻撃耐性,全ての属性やられの時間が50%減る,65,650,3,全属性やられへの耐性を高める。,属性やられ耐性 属性やられ耐性Lv1 全属性やられへの耐性を高める。 全ての属性やられの時間が50%減る
属性やられ耐性,属性やられ耐性Lv2,2,特殊攻撃耐性,全ての属性やられの時間が75%減る,65,650,3,全属性やられへの耐性を高める。,属性やられ耐性 属性やられ耐性Lv2 全属性やられへの耐性を高める。 全ての属性やられの時間が75%減る
属性やられ耐性,属性やられ耐性Lv3,3,特殊攻撃耐性,全ての属性やられを無効化,65,650,3,全属性やられへの耐性を高める。,属性やられ耐性 属性やられ耐性Lv3 全属性やられへの耐性を高める。 全ての属性やられを無効化
毒耐性,毒耐性Lv1,1,特殊攻撃耐性,毒のダメージを受ける回数が少なくなる,66,660,3,毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。,毒耐性 毒耐性Lv1 毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。 毒のダメージを受ける回数が少なくなる
毒耐性,毒耐性Lv2,2,特殊攻撃耐性,毒のダメージを受ける回数がとても少なくなる,66,660,3,毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。,毒耐性 毒耐性Lv2 毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。 毒のダメージを受ける回数がとても少なくなる
毒耐性,毒耐性Lv3,3,特殊攻撃耐性,毒状態にならなくり、猛毒を軽減する,66,660,3,毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。,毒耐性 毒耐性Lv3 毒によるダメージを軽減し、レベルに応じて毒への耐性を高める。 毒状態にならなくり、猛毒を軽減する
睡眠耐性,睡眠耐性Lv1,1,特殊攻撃耐性,睡眠の時間が30%減少,67,670,3,睡眠状態の時間を短縮する。,睡眠耐性 睡眠耐性Lv1 睡眠状態の時間を短縮する。 睡眠の時間が30%減少
睡眠耐性,睡眠耐性Lv2,2,特殊攻撃耐性,睡眠の時間が60%減少,67,670,3,睡眠状態の時間を短縮する。,睡眠耐性 睡眠耐性Lv2 睡眠状態の時間を短縮する。 睡眠の時間が60%減少
睡眠耐性,睡眠耐性Lv3,3,特殊攻撃耐性,睡眠状態にならなくなる,67,670,3,睡眠状態の時間を短縮する。,睡眠耐性 睡眠耐性Lv3 睡眠状態の時間を短縮する。 睡眠状態にならなくなる
気絶耐性,気絶耐性Lv1,1,特殊攻撃耐性,気絶状態の時間を60%減らす,68,680,3,気絶状態の時間を短縮する。,気絶耐性 気絶耐性Lv1 気絶状態の時間を短縮する。 気絶状態の時間を60%減らす
気絶耐性,気絶耐性Lv2,2,特殊攻撃耐性,気絶状態の時間を90%減らす,68,680,3,気絶状態の時間を短縮する。,気絶耐性 気絶耐性Lv2 気絶状態の時間を短縮する。 気絶状態の時間を90%減らす
気絶耐性,気絶耐性Lv3,3,特殊攻撃耐性,気絶状態にならない,68,680,3,気絶状態の時間を短縮する。,気絶耐性 気絶耐性Lv3 気絶状態の時間を短縮する。 気絶状態にならない
泥雪耐性,泥雪耐性Lv1,1,特殊攻撃耐性,モンスターの発生させた泥地や深雪での行動制限を軽減する。移動の制限を軽減,69,690,3,泥や深雪による行動制限を軽減する。,泥雪耐性 泥雪耐性Lv1 泥や深雪による行動制限を軽減する。 モンスターの発生させた泥地や深雪での行動制限を軽減する。移動の制限を軽減
泥雪耐性,泥雪耐性Lv2,2,特殊攻撃耐性,モンスターの発生させた泥地や深雪での行動制限を軽減する。移動の制限を受けない,69,690,3,泥や深雪による行動制限を軽減する。,泥雪耐性 泥雪耐性Lv2 泥や深雪による行動制限を軽減する。 モンスターの発生させた泥地や深雪での行動制限を軽減する。移動の制限を受けない
麻痺耐性,麻痺耐性Lv1,1,特殊攻撃耐性,麻痺の時間を30%減らす,98,980,3,麻痺状態の時間を短縮する。,麻痺耐性 麻痺耐性Lv1 麻痺状態の時間を短縮する。 麻痺の時間を30%減らす
麻痺耐性,麻痺耐性Lv2,2,特殊攻撃耐性,麻痺の時間を60%減らす,98,980,3,麻痺状態の時間を短縮する。,麻痺耐性 麻痺耐性Lv2 麻痺状態の時間を短縮する。 麻痺の時間を60%減らす
麻痺耐性,麻痺耐性Lv3,3,特殊攻撃耐性,麻痺状態にならない,98,980,3,麻痺状態の時間を短縮する。,麻痺耐性 麻痺耐性Lv3 麻痺状態の時間を短縮する。 麻痺状態にならない
爆破やられ耐性,爆破やられ耐性Lv1,1,特殊攻撃耐性,爆破までの時間が延長され、爆破ダメージを軽減する,99,990,3,爆破やられへの耐性を高める。,爆破やられ耐性 爆破やられ耐性Lv1 爆破やられへの耐性を高める。 爆破までの時間が延長され、爆破ダメージを軽減する
爆破やられ耐性,爆破やられ耐性Lv2,2,特殊攻撃耐性,爆破までの時間がさらに延長され、爆破ダメージを大きく軽減する,99,990,3,爆破やられへの耐性を高める。,爆破やられ耐性 爆破やられ耐性Lv2 爆破やられへの耐性を高める。 爆破までの時間がさらに延長され、爆破ダメージを大きく軽減する
爆破やられ耐性,爆破やられ耐性Lv3,3,特殊攻撃耐性,爆破やられ状態にならない,99,990,3,爆破やられへの耐性を高める。,爆破やられ耐性 爆破やられ耐性Lv3 爆破やられへの耐性を高める。 爆破やられ状態にならない
火耐性,火耐性Lv1,1,パラメータ変化,火耐性+6。,150,1050,,火耐性を高め、レベルに応じて防御力も高める。,火耐性 火耐性Lv1 火耐性を高め、レベルに応じて防御力も高める。 火耐性+6。
火耐性,火耐性Lv2,2,パラメータ変化,火耐性+12。,150,1050,,火耐性を高め、レベルに応じて防御力も高める。,火耐性 火耐性Lv2 火耐性を高め、レベルに応じて防御力も高める。 火耐性+12。
火耐性,火耐性Lv3,3,パラメータ変化,火耐性+20、防御力+10。,150,1050,,火耐性を高め、レベルに応じて防御力も高める。,火耐性 火耐性Lv3 火耐性を高め、レベルに応じて防御力も高める。 火耐性+20、防御力+10。
水耐性,水耐性Lv1,1,パラメータ変化,水耐性+6。,160,1060,,水耐性を高め、レベルに応じて防御力も高める。,水耐性 水耐性Lv1 水耐性を高め、レベルに応じて防御力も高める。 水耐性+6。
水耐性,水耐性Lv2,2,パラメータ変化,水耐性+12。,160,1060,,水耐性を高め、レベルに応じて防御力も高める。,水耐性 水耐性Lv2 水耐性を高め、レベルに応じて防御力も高める。 水耐性+12。
水耐性,水耐性Lv3,3,パラメータ変化,水耐性+20、防御力+10。,160,1060,,水耐性を高め、レベルに応じて防御力も高める。,水耐性 水耐性Lv3 水耐性を高め、レベルに応じて防御力も高める。 水耐性+20、防御力+10。
氷耐性,氷耐性Lv1,1,パラメータ変化,氷耐性+6。,170,1070,,氷耐性を高め、レベルに応じて防御力も高める。,氷耐性 氷耐性Lv1 氷耐性を高め、レベルに応じて防御力も高める。 氷耐性+6。
氷耐性,氷耐性Lv2,2,パラメータ変化,氷耐性+12。,170,1070,,氷耐性を高め、レベルに応じて防御力も高める。,氷耐性 氷耐性Lv2 氷耐性を高め、レベルに応じて防御力も高める。 氷耐性+12。
氷耐性,氷耐性Lv3,3,パラメータ変化,氷耐性+20、防御力+10。,170,1070,,氷耐性を高め、レベルに応じて防御力も高める。,氷耐性 氷耐性Lv3 氷耐性を高め、レベルに応じて防御力も高める。 氷耐性+20、防御力+10。
雷耐性,雷耐性Lv1,1,パラメータ変化,雷耐性+6。,180,1080,,雷耐性を高め、レベルに応じて防御力も高める。,雷耐性 雷耐性Lv1 雷耐性を高め、レベルに応じて防御力も高める。 雷耐性+6。
雷耐性,雷耐性Lv2,2,パラメータ変化,雷耐性+12。,180,1080,,雷耐性を高め、レベルに応じて防御力も高める。,雷耐性 雷耐性Lv2 雷耐性を高め、レベルに応じて防御力も高める。 雷耐性+12。
雷耐性,雷耐性Lv3,3,パラメータ変化,雷耐性+20、防御力+10。,180,1080,,雷耐性を高め、レベルに応じて防御力も高める。,雷耐性 雷耐性Lv3 雷耐性を高め、レベルに応じて防御力も高める。 雷耐性+20、防御力+10。
龍耐性,龍耐性Lv1,1,パラメータ変化,龍耐性+6。,190,1090,,龍耐性を高め、レベルに応じて防御力も高める。,龍耐性 龍耐性Lv1 龍耐性を高め、レベルに応じて防御力も高める。 龍耐性+6。
龍耐性,龍耐性Lv2,2,パラメータ変化,龍耐性+12。,190,1090,,龍耐性を高め、レベルに応じて防御力も高める。,龍耐性 龍耐性Lv2 龍耐性を高め、レベルに応じて防御力も高める。 龍耐性+12。
龍耐性,龍耐性Lv3,3,パラメータ変化,龍耐性+20、防御力+10。,190,1090,,龍耐性を高め、レベルに応じて防御力も高める。,龍耐性 龍耐性Lv3 龍耐性を高め、レベルに応じて防御力も高める。 龍耐性+20、防御力+10。
供応,供応Lv1,1,クエスト,1分ごとにヒトダマドリのいずれかの効果を取得する(一部クエストを除く),,,3,一定時間ごとにヒトダマドリのいずれかの効果を得る。,供応 供応Lv1 一定時間ごとにヒトダマドリのいずれかの効果を得る。 1分ごとにヒトダマドリのいずれかの効果を取得する(一部クエストを除く)
植生学,植生学Lv1,1,クエスト,草系消費アイテムの取得数+1,70,700,,採取で得られる消費アイテムの数を増やす。,植生学 植生学Lv1 採取で得られる消費アイテムの数を増やす。 草系消費アイテムの取得数+1
植生学,植生学Lv2,2,クエスト,さらに実、種系消費アイテムの取得数+1,70,700,,採取で得られる消費アイテムの数を増やす。,植生学 植生学Lv2 採取で得られる消費アイテムの数を増やす。 さらに実、種系消費アイテムの取得数+1
植生学,植生学Lv3,3,クエスト,さらに虫系消費アイテムの取得数+1,70,700,,採取で得られる消費アイテムの数を増やす。,植生学 植生学Lv3 採取で得られる消費アイテムの数を増やす。 さらに虫系消費アイテムの取得数+1
植生学,植生学Lv4,4,クエスト,さらにキノコ系消費アイテムの取得数+1,70,700,,採取で得られる消費アイテムの数を増やす。,植生学 植生学Lv4 採取で得られる消費アイテムの数を増やす。 さらにキノコ系消費アイテムの取得数+1
地質学,地質学Lv1,1,クエスト,骨採取ポイントの採取回数+1,71,710,,採取ポイントから取得できるアイテム数を増やす。,地質学 地質学Lv1 採取ポイントから取得できるアイテム数を増やす。 骨採取ポイントの採取回数+1
地質学,地質学Lv2,2,クエスト,さらに特産品採取ポイントの採取回数+1,71,710,,採取ポイントから取得できるアイテム数を増やす。,地質学 地質学Lv2 採取ポイントから取得できるアイテム数を増やす。 さらに特産品採取ポイントの採取回数+1
地質学,地質学Lv3,3,クエスト,さらに鉱石採取ポイントの採取回数+1,71,710,,採取ポイントから取得できるアイテム数を増やす。,地質学 地質学Lv3 採取ポイントから取得できるアイテム数を増やす。 さらに鉱石採取ポイントの採取回数+1
捕獲名人,捕獲名人Lv1,1,クエスト,捕獲でもらえる報酬の数が高確率で多くなる,73,730,,捕獲時の報酬数が増えやすくなる。,捕獲名人 捕獲名人Lv1 捕獲時の報酬数が増えやすくなる。 捕獲でもらえる報酬の数が高確率で多くなる
幸運,幸運Lv1,1,クエスト,クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率がわずかに上がる,74,740,12,クエストクリア時の報酬数が増えやすくなる。,幸運 幸運Lv1 クエストクリア時の報酬数が増えやすくなる。 クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率がわずかに上がる
幸運,幸運Lv2,2,クエスト,クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率が上がる,74,740,12,クエストクリア時の報酬数が増えやすくなる。,幸運 幸運Lv2 クエストクリア時の報酬数が増えやすくなる。 クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率が上がる
